trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
282,False,"{'a': 0.5, 'e': 0.06020499239237354}",25,10,11.571916346823718,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.05960594270893937}",30,8,41.14801180651158,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.05901285366944784}",20,6,13.024013515323547,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.05842566596450083}",30,16,23.900721667670425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.057844320874838456}",20,14,-3.561351315128668,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.05726876026546736}",20,3,32.316320816587414,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.0566989265798469}",20,0,13.58270552182975,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
289,False,"{'a': 0.5, 'e': 0.056134762834133725}",25,1,-44.05752096357831,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
290,False,"{'a': 0.5, 'e': 0.05557621261148306}",20,0,28.903787220604926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.05502322005640723}",30,9,13.461447368917693,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.05447572986918986}",20,14,0.5731408221573773,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.05393368730035602}",20,1,27.733321770039186,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.053397038145197084}",25,15,18.05347970522506,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.05286572873835037}",25,3,-63.78677685673514,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
